id,Был негативный опыт кредитов,Был позитивный опыт кредитов,Вернул кредит,Возраст,"Доход в месяц, руб",Количество кредитных карт,Количество лет на последней работе,Количество объектов недвижимости в собственности,Уровень образования
5304,0,1,0,36,-8814,2,6,6,2
5305,1,1,1,31,20301,1,3,9,2
5306,0,1,0,45,96253,2,3,11,2
5307,0,1,0,44,24240,3,1,0,2
5308,0,1,0,29,6173,2,4,2,2
5309,0,0,1,42,725410,2,24,0,2
5310,0,1,1,24,641569,7,9,0,2
5311,0,1,0,39,23662,2,3,7,2
5312,0,0,1,24,21358,9,3,7,4
5313,0,0,1,26,696145,1,4,3,2
5314,0,1,0,58,463569,4,3,0,2
5315,0,0,1,43,331836,4,10,0,2
5316,0,1,0,33,22576,1,2,3,2
5317,0,0,1,35,208465,1,3,0,2
5318,1,0,0,28,14109,2,7,8,3
5319,0,0,1,30,24055,2,4,3,3
5320,1,1,1,58,12308,2,6,11,3
5321,0,0,1,25,32959,2,3,2,2
5322,0,0,1,32,18208,3,2,0,2
5323,0,1,0,31,24577,2,2,2,3
5324,0,1,1,32,367526,1,12,0,3
5325,0,0,1,29,90413,1,4,14,2
5326,0,0,1,37,309570,2,2,0,2
5327,0,1,1,40,16020,5,11,0,4
5328,0,0,1,39,403252,1,3,0,2
5329,1,1,1,29,19695,2,2,2,2
5330,0,1,0,30,180354,3,4,0,2
5331,0,1,1,53,11922,3,3,0,4
5332,0,1,1,32,413412,2,10,0,2
5333,0,1,1,32,375083,1,3,0,3
5334,0,0,0,38,311123,2,4,0,2
5335,0,1,1,31,16587,4,6,12,2
5336,0,0,0,35,15588,1,4,8,2
5337,0,0,1,39,543916,2,5,4,2
5338,0,1,1,31,24069,2,5,0,2
5339,0,1,0,41,419209,2,5,0,3
5340,1,1,1,41,409242,2,11,0,3
5341,0,1,0,33,22941,2,4,0,3
5342,0,0,1,27,293823,2,9,4,2
5343,0,1,1,34,17194,2,2,0,2
5344,0,0,1,29,254132,2,9,5,1
5345,0,1,1,32,24356,2,3,7,2
5346,0,1,1,37,54175,8,2,0,3
5347,0,1,1,26,13361,1,4,4,3
5348,0,0,1,23,427406,2,10,0,4
5349,0,0,1,38,213138,2,4,0,3
5350,0,0,0,46,8672,2,3,1,2
5351,0,0,1,34,400484,2,4,0,2
5352,0,0,1,31,391799,2,10,6,2
5353,0,0,1,40,165912,3,14,3,2
5354,0,0,1,49,9311,4,3,0,1
5355,0,1,1,32,219019,2,1,0,2
5356,0,0,0,50,318292,2,5,1,2
5357,0,1,1,61,139838,3,9,6,1
5358,0,0,0,29,85786,2,3,0,4
5359,0,0,0,30,645447,3,4,0,2
5360,0,1,0,30,12305,5,8,4,2
5361,0,0,1,55,20995,2,6,0,2
5362,0,0,1,38,285867,1,4,3,3
5363,1,0,1,53,79730,1,4,3,2
5364,0,1,0,49,22907,1,3,3,1
5365,1,1,1,41,15319,2,11,18,3
5366,0,0,1,45,21417,6,4,0,3
5367,0,0,1,41,367015,2,11,18,2
5368,0,0,0,30,22450,5,10,0,2
5369,0,1,1,33,184690,4,23,1,2
5370,0,0,1,30,251731,5,4,15,2
5371,0,1,0,31,138121,3,5,5,3
5372,0,1,0,49,287549,4,13,0,1
5373,0,0,0,45,463686,5,24,0,2
5374,0,1,1,32,24483,2,18,0,3
5375,0,0,1,49,14159,3,4,11,3
5376,0,1,1,34,23164,2,3,0,2
5377,0,1,0,46,21940,2,10,0,2
5378,0,0,1,42,710136,3,18,0,3
5379,0,1,1,38,479112,1,4,6,2
5380,0,1,0,41,15926,1,4,0,2
5381,0,0,1,32,23882,1,4,9,2
5382,0,0,1,30,21927,5,3,3,2
5383,0,1,1,28,21720,5,3,12,2
5384,0,1,1,38,19095,1,9,0,4
5385,0,1,1,35,20802,5,4,0,3
5386,0,0,1,47,15818,2,13,0,2
5387,0,1,0,25,24441,3,15,5,2
5388,0,1,1,50,612412,4,7,11,1
5389,0,1,1,43,186205,5,2,1,3
5390,0,0,1,40,19138,3,4,2,3
5391,0,1,1,35,19590,1,12,8,3
5392,0,0,1,33,161583,2,2,0,2
5393,0,0,0,46,13488,4,4,0,2
5394,0,0,1,42,23604,5,8,5,3
5395,0,0,1,31,381377,2,3,0,3
5396,0,1,1,37,14964,1,3,0,3
5397,0,0,0,34,21765,5,12,0,2
5398,0,1,1,28,667646,2,1,0,2
5399,0,0,0,40,76411,6,12,0,3
5400,0,1,1,31,552913,1,3,0,2
5401,0,0,1,31,83755,7,6,0,3
5402,0,0,1,26,392113,4,2,0,2
5403,0,0,1,34,63855,7,2,0,3
5404,0,0,1,35,293162,2,2,0,2
5405,0,0,0,29,168614,4,27,0,2
5406,0,0,1,24,58172,7,2,7,2
5407,0,1,1,34,34514,2,3,0,3
5408,0,0,1,33,177207,7,8,2,2
5409,0,1,0,25,199585,2,2,0,3
5410,0,1,1,37,689844,4,11,0,2
5411,0,0,1,34,24073,5,3,0,2
5412,0,1,1,31,177312,4,2,7,2
5413,0,0,0,26,108257,2,4,6,2
5414,0,1,0,34,22887,4,15,0,2
5415,1,1,1,29,24274,4,4,1,2
5416,0,1,1,27,560833,1,3,0,2
5417,0,0,1,33,18187,5,2,6,2
5418,0,0,1,30,15502,2,4,0,3
5419,0,0,1,25,155567,1,12,0,2
5420,0,0,0,50,19465,2,3,0,1
5421,0,0,1,25,6353,3,1,1,2
5422,0,1,0,32,244363,2,14,0,2
5423,0,0,0,34,789914,2,5,5,2
5424,0,1,0,54,454100,1,3,2,2
5425,0,1,1,44,178576,3,3,4,2
5426,0,1,1,32,23485,2,23,0,2
5427,1,1,0,49,20338,2,14,0,2
5428,1,1,0,30,24383,4,3,0,3
5429,0,0,1,24,52187,4,10,0,2
5430,0,0,1,58,363481,2,4,0,2
5431,0,1,1,32,18562,2,8,10,1
5432,0,1,1,34,348418,1,3,0,1
5433,0,1,1,46,17273,2,3,8,2
5434,0,0,0,22,21159,2,1,0,3
5435,0,1,1,36,23767,3,3,9,2
5436,0,1,0,32,17612,4,2,2,3
5437,0,1,0,24,13847,1,15,0,2
5438,0,0,1,32,18767,1,4,0,2
5439,0,0,1,28,20532,2,7,0,2
5440,0,0,1,31,338901,1,5,0,3
5441,0,0,0,31,13554,5,3,0,2
5442,0,0,1,46,20249,2,10,0,2
5443,0,1,0,32,23651,1,3,6,2
5444,0,1,1,34,193021,3,16,5,2
5445,0,0,1,32,343606,7,13,11,2
5446,0,1,1,30,587967,2,3,0,2
5447,0,0,1,46,24679,2,3,7,3
5448,0,1,1,27,15949,4,5,2,2
5449,0,0,1,33,167344,4,4,15,3
5450,0,1,1,24,24181,2,4,5,2
5451,0,0,1,35,65099,4,5,9,2
5452,0,1,0,37,16940,4,31,3,3
5453,1,1,1,45,11243,9,4,5,2
5454,1,0,1,42,18195,4,13,2,3
5455,1,1,1,27,384424,9,4,3,3
5456,0,1,1,40,710779,1,11,0,2
5457,0,1,1,33,317652,5,3,0,2
5458,0,0,0,40,357373,4,2,0,3
5459,1,1,1,34,19096,2,3,0,2
5460,0,1,1,25,401193,1,18,0,4
5461,0,1,0,40,92261,4,4,0,2
5462,0,1,1,28,299011,3,1,11,2
5463,0,0,0,35,554583,4,2,11,2
5464,0,1,0,47,12291,2,2,6,2
5465,0,0,0,36,-2535,2,5,0,2
5466,0,1,0,31,378948,2,10,0,3
5467,0,0,1,48,20098,1,10,10,2
5468,0,1,1,37,15953,4,14,0,2
5469,0,0,1,38,11918,2,3,5,3
5470,1,0,0,49,321370,2,8,0,2
5471,1,0,0,32,17565,6,4,0,2
5472,0,1,0,29,23924,4,16,2,2
5473,0,1,1,37,12312,5,3,0,3
5474,1,0,1,47,261037,3,3,13,2
5475,1,0,0,38,17638,2,17,4,3
5476,0,0,1,48,19634,3,7,0,2
5477,0,1,1,35,15128,1,7,5,2
5478,0,1,0,24,14439,7,4,0,1
5479,0,0,1,47,584870,1,19,5,3
5480,0,1,0,46,19681,2,25,0,2
5481,0,1,0,28,186549,5,8,0,1
5482,1,0,0,60,13825,1,6,0,2
5483,0,0,1,55,24632,2,14,15,4
5484,1,0,1,39,327111,4,8,8,2
5485,0,0,1,68,5542,1,2,0,2
5486,0,0,1,32,17598,1,3,8,2
5487,0,0,1,41,23725,4,10,3,2
5488,0,0,1,31,533956,1,3,3,3
5489,0,0,1,31,9390,2,11,9,2
5490,0,0,1,58,578086,2,4,0,2
5491,0,1,1,41,11428,1,11,0,2
5492,0,1,1,51,23221,2,4,5,3
5493,0,1,0,35,219629,4,8,0,2
5494,0,1,1,36,11034,0,6,4,2
5495,0,1,1,27,19850,4,9,5,2
5496,0,0,1,42,19078,3,4,5,2
5497,1,1,0,53,213067,5,11,2,2
5498,0,1,1,37,54772,1,9,0,2
5499,0,1,1,33,463220,5,1,0,2
5500,1,0,0,28,82617,3,3,2,2
5501,0,0,1,41,16097,3,14,6,2
5502,0,0,1,24,9287,3,4,11,3
5503,0,0,1,50,16035,2,18,1,2
5504,0,0,1,43,507985,4,6,2,3
5505,0,1,1,36,490714,4,18,0,1
5506,0,1,0,45,27352,2,9,0,2
5507,0,1,1,36,158641,2,4,3,2
5508,0,0,0,42,60204,4,3,0,2
5509,0,1,0,27,205066,2,7,1,2
5510,0,1,1,51,105525,1,3,0,2
5511,0,1,1,37,24869,3,17,16,2
5512,0,1,1,39,19849,4,24,0,2
5513,0,1,1,31,18058,1,5,0,3
5514,0,0,1,39,23298,2,5,10,2
5515,0,1,1,35,65244,1,3,14,2
5516,0,0,1,39,18959,1,5,1,3
5517,0,1,1,32,93322,3,3,6,2
5518,0,0,1,62,21408,2,4,0,2
5519,0,1,1,35,22647,3,23,0,3
5520,0,0,0,35,15209,2,7,0,2
5521,0,1,1,35,22091,5,3,0,2
5522,0,1,1,34,24890,3,3,0,2
5523,0,1,0,51,18120,4,2,4,3
5524,1,0,1,31,222308,5,10,3,2
5525,0,0,1,31,847051,2,6,6,2
5526,0,1,0,47,16030,1,7,14,2
5527,0,1,1,45,15144,5,14,9,3
5528,0,0,0,28,260812,4,13,0,3
5529,0,1,1,57,71964,1,4,11,4
5530,0,1,1,37,556876,1,3,8,3
5531,0,0,1,28,283062,2,23,0,2
5532,0,0,1,40,740936,2,8,0,2
5533,0,0,0,50,17100,1,2,0,2
5534,0,0,0,33,309385,7,3,0,2
5535,0,1,1,47,57214,2,22,6,2
5536,0,0,0,23,14591,3,8,0,2
5537,0,0,1,28,680221,1,2,0,2
5538,1,1,1,45,393687,2,4,12,2
5539,0,1,1,39,21547,2,5,0,2
5540,0,1,1,28,24357,5,3,0,2
5541,0,1,1,40,2381,1,3,5,2
5542,0,0,1,33,13351,2,3,0,2
5543,0,0,1,51,13214,2,2,12,2
5544,0,0,1,52,56563,7,7,0,2
5545,0,0,1,38,20968,3,4,12,2
5546,0,0,1,48,46072,7,4,0,2
5547,1,0,0,33,24311,2,3,0,2
5548,0,0,0,34,710683,3,14,0,2
5549,0,0,1,56,272922,2,2,1,2
5550,0,0,1,33,84760,7,2,1,2
5551,0,1,1,46,13286,2,10,0,2
5552,0,0,1,31,19811,1,3,0,3
5553,0,0,1,34,833398,2,3,0,1
5554,0,1,1,26,3831,1,3,0,2
5555,1,1,0,24,11675,2,4,0,2
5556,0,1,0,36,172011,2,15,0,2
5557,0,0,0,32,384676,1,7,2,2
5558,0,1,0,29,488317,1,0,0,2
5559,0,1,1,39,16989,6,11,7,2
5560,0,1,1,25,409265,4,12,12,4
5561,0,0,1,47,57288,1,3,3,2
5562,0,0,0,36,12165,2,4,3,2
5563,0,0,0,29,16830,2,4,0,3
5564,0,0,0,37,24490,2,3,0,3
5565,0,0,1,41,22808,3,18,7,2
5566,1,0,0,33,24060,2,24,1,2
5567,0,1,0,50,287636,1,3,6,2
5568,0,1,1,27,369615,1,1,1,2
5569,0,0,0,45,53622,8,3,1,2
5570,0,0,0,58,22401,5,19,0,2
5571,0,0,0,41,453071,5,1,0,2
5572,0,0,1,58,17713,4,2,0,3
5573,0,0,1,30,20405,3,10,0,2
5574,0,1,1,24,24687,8,3,5,4
5575,0,1,1,26,16103,1,9,4,3
5576,0,0,1,36,20616,3,3,16,1
5577,0,0,1,32,24805,3,9,4,2
5578,0,0,1,35,23154,1,2,0,2
5579,0,1,0,38,18858,6,1,8,4
5580,0,0,1,35,13849,3,3,4,2
5581,1,1,1,43,515782,2,3,3,4
5582,0,1,1,30,10568,3,8,0,2
5583,0,1,1,47,12933,2,4,2,4
5584,0,0,1,39,18843,1,3,0,2
5585,0,1,0,41,92597,2,18,0,2
5586,0,0,1,34,335891,2,17,0,3
5587,0,0,1,26,664958,3,13,0,2
5588,0,1,1,45,19943,2,3,0,3
5589,0,0,1,44,259146,4,3,0,1
5590,0,1,1,58,29959,1,14,12,1
5591,0,0,1,50,20237,1,11,0,2
5592,0,1,1,49,331088,5,11,0,2
5593,0,1,1,43,23182,2,4,0,2
5594,0,1,1,41,276765,4,1,0,2
5595,0,0,1,41,292300,1,4,9,2
5596,0,0,1,39,24285,5,3,2,3
5597,0,0,1,47,12526,6,9,1,3
5598,0,0,0,42,60536,5,6,2,2
5599,0,0,1,32,14126,0,4,2,2
5600,0,0,1,50,20692,2,2,5,2
5601,0,1,0,36,407436,5,8,0,2
5602,0,1,1,26,438889,2,13,4,2
5603,0,1,0,40,15100,5,6,3,2
5604,0,0,1,53,21257,2,3,2,2
5605,0,1,1,36,716389,3,7,1,2
5606,0,1,1,48,456095,2,9,7,2
5607,0,0,1,30,16362,3,3,0,2
5608,0,1,1,29,24376,3,17,0,2
5609,0,1,0,25,4232,4,9,7,2
5610,0,1,1,28,543134,4,3,2,2
5611,0,0,1,30,49338,1,4,2,3
5612,0,0,1,31,13368,2,4,10,2
5613,0,0,1,33,432757,1,8,0,2
5614,0,1,1,29,455940,2,11,8,3
5615,0,1,1,32,21658,3,18,0,2
5616,0,0,0,29,372206,2,1,0,3
5617,0,1,1,30,189525,2,2,4,3
5618,0,1,1,59,144066,3,3,3,2
5619,0,1,1,41,20407,2,11,0,2
5620,0,1,1,30,11635,6,6,4,3
5621,0,0,0,59,301409,1,3,0,3
5622,0,0,0,26,154513,3,16,13,2
5623,0,0,1,25,16640,2,3,0,3
5624,0,1,1,38,22590,1,13,0,2
5625,0,1,1,44,212508,2,3,0,2
5626,0,1,1,39,154890,2,5,10,2
5627,0,1,1,28,107017,6,3,0,2
5628,0,0,1,36,19798,4,20,2,4
5629,0,1,1,26,165307,2,3,0,4
5630,0,0,1,30,80421,5,10,1,2
5631,0,0,0,32,19720,9,16,0,3
5632,0,0,1,36,443039,1,10,0,1
5633,0,0,1,66,378258,1,3,0,2
5634,0,1,1,35,24189,3,17,1,2
5635,0,0,0,51,183315,6,3,0,2
5636,0,1,1,33,32640,2,7,0,3
5637,0,1,1,36,86174,3,21,0,2
5638,0,1,1,49,11556,2,12,0,2
5639,0,1,1,25,19831,1,2,0,3
5640,0,1,1,31,6718,2,16,0,2
5641,0,0,1,39,12986,5,12,0,2
5642,0,0,0,42,521898,5,6,0,2
5643,0,0,0,55,110278,2,3,3,3
5644,0,1,1,38,243186,1,16,0,3
5645,0,1,0,29,251703,5,1,3,4
5646,1,1,1,37,22335,3,6,0,3
5647,0,0,1,42,155589,2,3,0,2
5648,0,0,1,32,25311,2,12,7,2
5649,0,0,1,26,154152,2,8,5,2
5650,0,0,1,28,19420,4,4,2,2
5651,0,0,1,53,24577,7,2,12,2
5652,0,0,1,39,166123,2,5,9,2
5653,0,1,0,28,21030,5,12,2,2
5654,1,0,1,33,8784,4,8,0,2
5655,0,1,1,44,22872,2,17,0,1
5656,0,0,1,24,298529,2,1,4,3
5657,0,0,1,28,20132,2,6,0,2
5658,0,0,0,40,7955,4,4,0,3
5659,0,0,1,29,18114,5,6,8,4
5660,0,1,1,29,15569,5,2,0,2
5661,0,0,1,32,201969,1,4,4,2
5662,0,0,1,30,21952,1,2,16,2
5663,0,1,1,44,228050,3,4,10,2
5664,0,1,1,31,490868,3,10,0,2
5665,0,0,1,34,16529,4,8,5,2
5666,0,0,1,43,565529,2,3,10,3
5667,0,1,1,41,25772,1,4,0,2
5668,0,0,1,41,14640,1,3,1,3
5669,1,1,1,30,19541,1,4,8,3
5670,0,0,0,30,16949,0,7,7,2
5671,0,0,1,26,18464,1,17,13,3
5672,0,0,1,43,432087,4,14,5,3
5673,0,1,0,34,24004,2,4,6,2
5674,0,1,0,38,417244,7,7,0,3
5675,0,0,1,34,19392,2,3,11,2
5676,0,0,1,56,22806,4,4,0,2
5677,0,0,1,33,154520,5,4,0,3
5678,0,1,1,25,13205,1,3,0,3
5679,0,0,1,43,434341,1,2,8,2
5680,0,0,0,32,11044,7,1,5,2
5681,0,1,1,28,24811,5,4,0,2
5682,0,1,1,43,18353,1,2,1,2
5683,0,0,0,28,21122,3,15,7,2
5684,0,1,1,35,301931,2,18,8,3
5685,0,1,1,35,516391,4,4,5,2
5686,0,0,0,31,11931,1,3,3,2
5687,0,0,1,33,182250,4,3,0,2
5688,0,1,0,25,19232,1,4,0,2
5689,0,0,0,43,23332,4,3,0,2
5690,0,1,1,54,5663,3,13,1,2
5691,0,0,1,32,20561,4,7,0,2
5692,1,0,0,60,18990,1,3,0,2
5693,0,1,1,44,139012,2,5,2,2
5694,0,0,1,30,15817,7,3,2,3
5695,0,1,1,25,232525,2,9,0,2
5696,0,1,1,32,24455,4,2,2,2
5697,1,1,1,48,527924,5,4,0,2
5698,0,0,1,52,589306,4,8,1,3
5699,0,1,0,40,240371,2,8,0,2
5700,0,0,1,39,277471,7,20,15,2
5701,0,0,0,27,23927,2,4,9,3
5702,0,0,0,48,11188,5,2,3,1
5703,0,0,1,36,226512,5,2,0,2
5704,1,1,1,44,44834,2,3,4,3
5705,0,0,0,48,846387,2,4,1,2
5706,0,0,1,31,329675,6,3,11,3
5707,0,1,1,41,607990,2,3,0,2
5708,0,0,0,32,18006,6,1,0,2
5709,1,0,0,39,13543,2,7,0,3
5710,1,1,1,30,20258,2,4,7,2
5711,0,0,0,51,181260,2,3,0,4
5712,1,0,1,39,539472,1,4,1,2
5713,0,0,1,68,917303,2,3,17,2
5714,0,1,1,43,18511,2,4,0,3
5715,0,0,1,28,245296,2,6,0,3
5716,0,1,1,33,21241,2,9,4,3
5717,0,1,1,36,140858,4,3,2,2
5718,0,0,0,30,12561,4,3,0,2
5719,0,1,1,42,633413,2,10,8,2
5720,0,1,1,37,14061,3,9,0,4
5721,0,1,0,38,18336,2,1,4,2
5722,0,0,1,33,24513,3,2,0,3
5723,0,1,1,33,116310,1,4,0,3
5724,0,0,1,35,21842,2,9,0,2
5725,1,1,1,45,314402,2,20,3,4
5726,0,0,0,27,13585,1,23,6,4
5727,0,0,0,35,161745,2,16,0,2
5728,0,1,1,33,23951,5,12,7,3
5729,0,1,1,32,14949,1,3,5,2
5730,0,0,0,28,-701,1,14,0,2
5731,0,1,0,37,22951,1,3,0,3
5732,0,1,1,40,678951,7,3,5,2
5733,0,0,0,38,15826,2,13,0,2
5734,1,0,0,31,190897,5,2,5,3
5735,0,1,1,34,19098,2,3,0,2
5736,0,1,1,38,160969,3,7,0,2
5737,0,0,1,36,21871,2,12,5,2
5738,0,1,1,31,19208,4,9,0,2
5739,0,0,0,46,16468,2,11,0,2
5740,0,0,1,29,351897,5,3,1,2
5741,0,0,1,31,537221,2,2,0,3
5742,0,0,1,40,18308,2,3,11,2
5743,1,0,0,35,93762,3,3,7,2
5744,0,0,1,43,240933,4,12,5,2
5745,0,1,1,35,11394,2,10,0,2
5746,0,0,1,26,23036,2,3,0,1
5747,0,0,1,44,22454,1,4,0,2
5748,0,1,0,56,90843,4,12,0,2
5749,0,0,1,38,15765,1,5,5,2
5750,0,0,1,46,166370,1,6,0,3
5751,0,0,1,52,368383,2,9,0,3
5752,0,1,0,41,305674,2,3,3,3
5753,0,1,0,23,18519,3,11,10,2
5754,0,0,1,38,112940,2,2,0,2
5755,0,1,1,33,49104,3,9,0,2
5756,0,1,0,26,357473,2,3,3,3
5757,0,0,0,46,66049,8,4,0,2
5758,0,0,0,32,15552,4,3,0,2
5759,0,0,1,49,426359,5,6,1,2
5760,0,1,1,25,85246,2,12,0,3
5761,0,1,1,47,109741,2,2,0,1
5762,0,0,1,38,12230,2,4,11,2
5763,1,1,0,29,11359,1,15,4,2
5764,0,0,1,43,100580,3,12,0,2
5765,0,1,0,41,370175,2,9,6,3
5766,0,0,1,33,27401,1,2,3,2
5767,0,1,1,34,309573,2,4,0,2
5768,0,0,1,51,276680,0,10,0,2
5769,0,1,1,34,14811,2,4,9,4
5770,0,0,1,33,24604,3,3,5,2
5771,1,0,0,43,16982,2,4,0,4
5772,0,0,0,50,37364,4,3,9,2
5773,0,0,0,31,18953,5,4,2,3
5774,0,1,1,42,21304,1,3,7,4
5775,1,0,0,30,16990,4,3,1,2
5776,1,1,1,44,207576,0,23,0,2
5777,1,0,1,26,23034,4,2,11,3
5778,0,1,0,38,313880,2,6,0,2
5779,1,0,0,32,24292,9,28,8,3
5780,0,0,0,34,18124,2,12,0,2
5781,0,0,0,41,95917,4,7,7,1
5782,0,0,1,32,16441,3,17,5,2
5783,0,0,1,47,17048,1,13,0,1
5784,0,1,1,31,21734,2,4,0,2
5785,0,1,1,35,758449,4,4,0,1
5786,0,0,1,48,16412,2,4,5,2
5787,1,1,1,33,14350,1,0,11,3
5788,0,1,1,46,537430,5,3,0,2
5789,0,0,1,44,141688,1,11,0,2
5790,0,0,1,33,309434,5,17,0,2
5791,0,1,1,23,17568,1,3,1,2
5792,0,0,0,30,331454,2,4,0,2
5793,0,1,1,52,526887,1,2,0,2
5794,0,1,1,32,24862,2,5,0,2
5795,0,0,0,39,390962,4,4,1,2
5796,0,1,1,27,235888,1,13,0,4
5797,0,0,1,41,266298,1,4,0,2
5798,0,0,1,24,9967,1,19,8,1
5799,0,0,1,33,24513,6,4,1,3
5800,0,0,1,53,53829,2,3,3,2
5801,0,1,1,27,23978,6,11,0,2
5802,0,1,0,51,828315,1,11,0,2
5803,0,0,1,44,11629,1,3,0,2
5804,0,1,0,28,10099,2,3,0,3
5805,1,0,1,37,18541,7,11,3,2
5806,0,0,1,42,207579,3,4,4,2
5807,0,1,1,33,158243,2,2,0,3
5808,0,1,1,39,187991,11,8,14,2
5809,0,1,1,40,20156,5,11,2,2
5810,0,1,1,40,191394,6,17,0,2
5811,0,1,1,44,327729,7,10,0,3
5812,0,1,1,45,691134,1,4,9,4
5813,0,1,0,33,150724,3,2,6,2
5814,0,0,1,26,23453,4,3,0,3
5815,0,1,1,34,39384,5,3,8,2
5816,0,1,1,25,23219,2,7,0,3
5817,0,0,1,32,76619,0,5,12,2
5818,0,1,1,32,473957,1,4,0,1
5819,0,1,1,24,311407,2,1,3,2
5820,0,0,1,33,62807,1,4,7,1
5821,0,0,1,33,293123,2,31,0,3
5822,0,1,1,29,21146,1,20,0,3
5823,0,1,1,49,57531,2,3,0,1
5824,0,0,1,36,408052,1,1,7,2
5825,0,0,0,33,773926,2,6,0,2
5826,0,1,0,34,19377,5,6,12,2
5827,0,1,1,39,253556,5,7,0,2
5828,1,1,1,27,438628,0,4,7,1
5829,0,1,0,54,17478,2,4,1,2
5830,0,1,1,25,24499,7,4,0,3
5831,0,1,0,41,19043,3,13,5,3
5832,0,0,1,27,24019,5,8,0,2
5833,0,0,1,24,14158,2,3,0,3
5834,0,0,1,40,23739,2,3,0,3
5835,0,0,0,28,22712,4,6,0,2
5836,0,0,1,34,415307,6,2,0,2
5837,0,1,1,38,19286,2,10,0,2
5838,0,0,0,49,29007,3,5,0,2
5839,0,0,0,50,129990,5,9,0,3
5840,0,1,1,31,96465,0,3,3,2
5841,1,1,0,33,181245,4,3,0,2
5842,0,1,1,43,55143,2,1,0,2
5843,1,0,0,32,15700,2,4,0,3
5844,0,1,1,29,19974,1,2,0,2
5845,0,1,0,25,147209,3,3,11,2
5846,0,0,1,33,20101,5,8,6,2
5847,1,1,1,53,222646,4,4,0,2
5848,0,0,1,30,18275,6,7,5,2
5849,0,0,1,53,194335,6,11,0,2
5850,0,0,1,26,9641,5,13,5,2
5851,0,1,1,34,7762,4,8,7,2
5852,0,1,1,44,21921,4,10,0,3
5853,0,0,1,34,24530,1,6,7,2
5854,0,0,1,33,515255,3,14,0,4
5855,0,0,1,34,22348,1,5,0,2
5856,0,1,1,57,23594,1,9,5,3
5857,0,0,0,50,6514,6,4,0,2
5858,0,0,1,40,619465,1,3,0,2
5859,0,1,1,30,108077,5,4,0,4
5860,1,1,1,38,13549,2,15,0,2
5861,0,1,0,70,12285,2,4,0,2
5862,0,0,0,31,601965,3,11,0,3
5863,0,1,0,55,9062,2,6,0,1
5864,0,1,1,30,514227,2,1,7,2
5865,0,1,1,31,23690,1,3,12,2
5866,0,1,1,52,356036,4,2,5,4
5867,0,1,0,42,11241,1,16,0,3
5868,0,0,1,32,20233,2,4,2,2
5869,0,0,1,31,24874,0,18,0,2
5870,0,0,0,31,112285,1,9,0,2
5871,0,1,1,42,251234,2,4,4,2
5872,0,0,1,40,204315,2,13,0,2
5873,0,0,1,28,19179,2,3,0,2
5874,1,1,1,46,182772,3,5,0,2
5875,0,0,0,45,15570,2,12,1,2
5876,0,1,1,31,22415,1,17,0,2
5877,0,1,1,31,513778,2,4,0,4
5878,0,1,1,45,13600,0,6,1,2
5879,0,0,1,33,20396,2,3,1,2
5880,0,0,0,55,748646,7,14,0,2
5881,0,1,1,44,137641,5,3,3,1
5882,0,0,0,43,10240,6,4,0,2
5883,0,1,0,46,447990,1,3,5,2
5884,0,0,0,30,12730,2,3,0,2
5885,0,1,1,39,25797,1,6,7,2
5886,0,1,1,51,16146,1,8,0,2
5887,0,1,0,32,114278,6,0,5,2
5888,0,1,1,55,23781,7,6,11,3
5889,0,0,1,23,379435,2,2,3,2
5890,0,1,0,34,223715,1,21,2,2
5891,0,0,0,30,29763,2,3,11,3
5892,1,0,1,44,513235,2,4,3,2
5893,0,1,1,29,24990,2,9,0,2
5894,0,1,0,26,17369,3,3,7,2
5895,0,0,0,33,19076,6,6,0,2
5896,0,0,1,33,17854,2,4,0,2
5897,0,1,0,50,69310,2,6,0,3
5898,0,0,0,56,19768,2,1,0,3
5899,0,0,1,33,272609,3,4,0,2
5900,0,1,1,35,414450,2,5,4,2
5901,0,0,1,25,21520,2,6,6,3
5902,0,0,1,38,558048,4,10,5,2
5903,0,0,0,36,313497,7,3,2,3
5904,1,1,1,35,23007,7,6,0,3
5905,1,0,1,43,15996,2,14,5,4
5906,0,1,0,27,237359,6,2,0,1
5907,0,0,1,34,155730,4,23,1,2
5908,0,0,0,38,15554,2,19,6,2
5909,1,1,1,39,23764,2,2,0,3
5910,0,0,1,56,137600,2,1,9,2
5911,0,0,1,33,24177,2,17,8,3
5912,0,0,0,36,368036,1,10,5,2
5913,0,1,1,31,20185,2,7,8,2
5914,0,0,0,36,20453,3,5,0,3
5915,0,0,0,46,23890,6,2,2,2
5916,0,1,0,50,385377,2,2,0,2
5917,0,0,1,34,12261,1,4,0,2
5918,0,1,0,36,16098,5,16,0,2
5919,0,1,0,26,19361,1,2,4,4
5920,1,0,1,46,382281,4,2,0,2
5921,0,0,0,36,23081,1,4,0,1
5922,0,0,1,30,376428,6,3,8,2
5923,0,1,1,35,7846,2,5,11,2
5924,0,1,1,28,29623,2,5,0,2
5925,1,1,1,41,23810,1,3,0,3
5926,0,0,1,46,226752,2,9,5,3
5927,0,0,1,47,17398,3,15,10,2
5928,0,1,1,41,20682,3,3,8,2
5929,0,1,1,44,64299,4,9,0,1
5930,0,1,1,35,16398,2,18,0,2
5931,0,1,1,38,21848,5,3,1,2
5932,0,0,0,56,469563,2,4,0,1
5933,0,1,1,21,157157,5,4,0,3
5934,0,0,0,32,407288,5,3,0,2
